,average_degree,average_clustering,transitivity,entropy,dead_ends,ways_4,nodes
0,2.2955158049497673,0.020773412471528137,0.03324415141815171,3.4816888033451963,0.3846170600887582,0.07932151705736612,183645
0,3.0731981981981984,0.03943318318318336,0.04040191488242412,3.522470181102692,0.10754504504504504,0.2986111111111111,5328
0,2.509683292005399,0.04190450780896147,0.061085525013526175,3.5557332233974517,0.2722307668162843,0.08107599108572146,31859
0,2.7070465319648362,0.08012435701030521,0.0987310655373635,3.2778088024454557,0.179781429148576,0.08004888950256465,195543
0,2.7411105698977107,0.09427666829030823,0.11834923452407366,3.577531153440437,0.17011690209449587,0.11568436434486118,8212
0,2.9019574175824174,0.0618189102564107,0.07385196746898874,3.487658171690275,0.13058035714285715,0.20029189560439561,11648
0,2.6863139093547668,0.06058644042569059,0.07466512320158757,3.563974950175795,0.20495646349631613,0.12056262558606833,4479
0,2.667356301160385,0.04709946585452628,0.061445190889726366,2.7968391646858732,0.237833948007556,0.16834577673832868,22234
0,2.7692724619553886,0.04723031259616521,0.057809528629997324,2.785180681398913,0.18567854909318324,0.16543673129038983,47970
0,3.0134611462369976,0.03574593138635629,0.037487559438239525,3.5273219041222035,0.10697532123189883,0.2415867836018764,29418
0,2.836289316890675,0.03963904669530304,0.044472344444700405,3.4285897829949628,0.1646113343494527,0.17663156436192323,28868
